,train_id,depart_station,arrive_station,time_depart,time_arrive,depart_lon,depart_lat,arrive_lon,arrive_lat,delay
6156,IC3831,La Louvière-Sud,Mons,2019-03-15 11:05:00,2019-03-15 11:21:00,4.190608999999999,50.464974,3.942542,50.453854,120
6157,IC19915,Froyennes,Tournai,2019-03-15 09:32:00,2019-03-15 09:37:00,3.3548370000000003,50.62989,3.3969419999999997,50.613134,60
6158,IC19915,La Louvière-Sud,Charleroi-Sud,2019-03-15 10:32:00,2019-03-15 10:48:00,4.190608999999999,50.464974,4.438567,50.404709999999994,180
6159,IC19915,Charleroi-Sud,Tamines,2019-03-15 10:50:00,2019-03-15 11:01:00,4.438567,50.404709999999994,4.608823,50.432235,60
6160,L5559,Liers,Milmort,2019-03-15 09:49:00,2019-03-15 09:52:00,5.56683,50.698181,5.60009,50.692454999999995,60
6161,L5559,Herstal,Liège-Saint-Lambert,2019-03-15 09:59:00,2019-03-15 10:04:00,5.622761,50.660911,5.570453,50.646349,120
6162,L5559,Liège-Saint-Lambert,Liège-Carré,2019-03-15 10:06:00,2019-03-15 10:09:00,5.570453,50.646349,5.561131,50.640299,120
6163,L5559,Liège-Carré,Liège-Guillemins,2019-03-15 10:10:00,2019-03-15 10:14:00,5.561131,50.640299,5.566694999999999,50.62455,60
6164,L5559,Liège-Guillemins,Angleur,2019-03-15 10:16:00,2019-03-15 10:19:00,5.566694999999999,50.62455,5.599695,50.613152,120
6165,L5559,Angleur,Tilff,2019-03-15 10:20:00,2019-03-15 10:26:00,5.599695,50.613152,5.583937000000001,50.570624,120
6166,L5559,Tilff,Méry,2019-03-15 10:26:00,2019-03-15 10:30:00,5.583937000000001,50.570624,5.587236,50.54762,120
6167,L5559,Esneux,Poulseur,2019-03-15 10:34:00,2019-03-15 10:38:00,5.572565,50.530568,5.578858,50.509209000000006,180
6168,L5559,Poulseur,Rivage,2019-03-15 10:38:00,2019-03-15 10:42:00,5.578858,50.509209000000006,5.587631,50.483284999999995,180
6169,L5559,Rivage,Comblain-la-Tour,2019-03-15 10:43:00,2019-03-15 10:47:00,5.587631,50.483284999999995,5.566955999999999,50.456865,180
6170,L5559,Comblain-la-Tour,Hamoir,2019-03-15 10:47:00,2019-03-15 10:52:00,5.566955999999999,50.456865,5.533561,50.428181,180
